"paralog_pair","GI_score_A549","GI_score_HT29","GI_score_OVCAR8","fdr_A549","fdr_HT29","fdr_OVCAR8","p_val_A549","p_val_HT29","p_val_OVCAR8"
"HIST2H2BE_HIST2H2BF",-0.568959697563068,-0.985921310018944,-0.0205865254792161,0.0231175821439031,3.7611619270844e-06,0.927958441381993,0.00768673947216629,3.45317596283183e-07,0.895721671706191
"HMG20A_HMG20B",0.111426554394779,-0.0691119703324877,-0.0714340299778761,0.336519365791444,0.566832556497646,0.694342533087635,0.242160337666299,0.521823519753416,0.587102004488772
"HNRNPF_HNRNPH3",-0.341025600256492,-0.328976106223419,-0.14470080248079,0.0405353387875051,0.00101313306769867,0.116473793265927,0.0147576325286307,0.000364526786144683,0.0604045230585078
"HSP90AA1_HSP90AB1",-1.85290112132248,-2.21091891004229,-1.66519649611312,4.15031279668591e-06,2.7984575208826e-07,6.80078118215799e-05,1.64776686717058e-07,1.45825329872294e-08,6.75015501951165e-06
"IFRD1_IFRD2",0.129544912316419,-0.293654421657897,-0.351882298809104,0.654917720295995,0.0874873498879074,0.0050370674865176,0.562807411871577,0.0601339849105468,0.00124989267655523
"ING4_ING5",-0.882979901197226,-0.74096519018901,-0.490027212066807,2.81252989828583e-05,0.000332564743010028,0.00623689560792154,2.09369471336414e-06,9.57258317348963e-05,0.00165594995049033
"IP6K1_IP6K2",-0.257856324023017,-0.15717702732152,-0.0459509627915085,0.201379425117441,0.224887325253461,0.750307366384491,0.117929390391355,0.179128613911566,0.64418448826063
"IQGAP1_IQGAP3",-0.687091595678492,-0.151677552026468,-0.237934427446211,1.85855007958947e-06,0.132795459712133,0.000586655901242684,5.5341441575865e-08,0.0985256636573893,9.60776413945834e-05
"IRF2BP1_IRF2BPL",-0.221433431965576,-0.335733139588174,-0.362786592931706,0.189876012669661,0.118337310446924,0.0230183749713616,0.108837118924793,0.0839813170913655,0.00873898603131097
"ITSN1_ITSN2",-0.413457645581621,-0.412562360370248,0.344502013779298,4.85262320442919e-05,0.00781811751771044,0.0551873691147552,3.97361205325467e-06,0.00378296008921473,0.0252507653662676
"JAK1_TYK2",-0.482503902184127,-0.497232636543029,-0.192891224079637,0.000823997457378859,2.27942038389973e-05,0.105677561704487,0.000116545546080881,3.67648449016085e-06,0.0534943488528916
"JOSD1_JOSD2",-0.0324352533173375,-0.331112660909034,-0.143811487660801,0.860313125099032,0.0452006340542759,0.355512017885275,0.804809052511998,0.0278157748026313,0.247005868505898
"JRKL_TIGD2",-0.0199835010759662,0.00685043648958799,0.35773132371984,0.889879483100381,0.94009382980986,0.00138149147196694,0.856757417972576,0.937761090778074,0.000253673372023707
"KAT6A_KAT6B",-0.364859021271156,-0.134419498478869,-0.197118989919486,0.101101067180852,0.491403758011197,0.0256584108507185,0.0479163866787661,0.436532370640219,0.00999431063095676
"KATNA1_KATNAL1",-0.394544527879355,-0.230127121736507,-0.384306430714492,0.0460382622371714,0.00231106224566573,0.0105856019778753,0.0175095567710092,0.000911808677570351,0.00304697228147279
"KBTBD6_KBTBD7",0.212247614336768,-0.0849404546140758,0.294915178550813,0.255919239942275,0.543444882888566,0.00811638962519118,0.165744222394376,0.49355043954644,0.00225567155836579
"KCTD17_KCTD2",0.406755559077672,-0.196072266025335,0.105549100228334,0.00229936311321141,0.00273431635304946,0.246225778454797,0.000422215559249738,0.00111865080823631,0.15091257389165
"KCTD2_KCTD5",0.171928368157697,-0.23557354445871,-0.0304498069138075,0.084287892358577,0.000592021014139674,0.806575817876993,0.0372288953841854,0.000195627551417659,0.730677327961837
"KDELR1_KDELR2",-2.25829454585796,-1.71334806947997,-1.75599335103898,2.32049029581038e-07,4.27770434801901e-07,5.92478152023554e-08,3.21955036981944e-09,2.54751623703365e-08,2.35227057875357e-09
"KDM5A_KDM5B",0.0258683515540874,-0.0402956627767811,0.318507007649947,0.844635992450831,0.637349640481279,0.00164928617351756,0.783855734929555,0.598082629280249,0.000323309200267709
"KIF3A_KIF3B",-0.0678586126916427,-0.18158323328378,0.341305263340998,0.709556077642317,0.0865889023625628,0.0139502731416949,0.630325250114018,0.0593015807743606,0.0044683603009941
"KLC1_KLC4",NA,-0.620619418956127,-0.154448511107946,0.422763845621918,0.00386475079438114,0.484966805904021,0.315402754329882,0.0017070115171212,0.365461203505172
"KLHL17_KLHL20",-0.428374974337792,-0.228803349042334,-0.316238413101424,0.00290122659002311,0.0493585163722327,0.0163336990321916,0.000575925873949998,0.0311093378623997,0.0056337076066368
"KYAT1_KYAT3",-0.569118507949135,-0.520783603184908,-0.547101322698192,1.2195744314661e-05,0.00428317290892186,0.00197870809692733,5.74985463966649e-07,0.00191307971118098,0.000404567079358409
"L3MBTL2_MBTD1",-0.33456321638277,-0.203228646037621,-0.131554465695367,0.0405353387875051,0.053104234130451,0.132951442165781,0.014785843180554,0.0338654793338112,0.0705995251202908
"LATS1_LATS2",0.113492607534613,0.141814304253733,0.251836495732848,0.305889066317734,0.251644363911782,0.0150215984412851,0.21404644342829,0.201690147750634,0.00499477466782184
"LIN7B_LIN7C",-0.10853391884825,-0.558058080502809,-0.393327909953591,0.255125407491369,5.91898376038297e-06,6.33718243209061e-05,0.163330906036658,6.16866793886067e-07,6.13275719234575e-06
"LMAN2_LMAN2L",-0.257597146492208,-0.343004067431424,-0.285809964998558,0.134297595517384,0.000764721835911227,0.0333669280234275,0.0709811112784186,0.000265660191135414,0.0136613973296912
