"paralog_pair","GI_score_RPE1","GI_score_HAP1","fdr_RPE1","fdr_HAP1","p_val_RPE1","p_val_HAP1"
"DACH1_DACH2",0.337692444982068,0.0183236667296583,0.121815362182474,0.856474326555183,0.0502221230050549,0.773772984762936
"DCHS1_DCHS2",0.370240642290975,0.493283755360405,0.105102185234574,0.015688656149638,0.0397974648768344,0.00254596612954653
"DDHD2_SEC23IP",1.65306852392869,-0.158732563206104,0.00213702224133075,0.274488235772892,0.000155089482483,0.14566672657971
"DDR1_DDR2",0.64757812896526,0.0508169115158727,0.0148988153095431,0.697033714314154,0.00263560914101566,0.558442215561632
"DENND6A_DENND6B",0.290696452196273,-0.13453346056886,0.196744370251417,0.319144696050378,0.0969339952846894,0.180353286316917
"DERL2_DERL3",-0.614988967164151,-0.245386423541128,0.103089039139621,0.244409016413637,0.0381698118576245,0.124704659363544
"DHX32_DQX1",-0.066033611275569,0.0713804446841182,0.813608709611789,0.403428960966175,0.724397228294707,0.256566663772348
"DHX58_IFIH1",0.177822548839815,0.135291136863793,0.292165436233901,0.390147389172848,0.1665855557474,0.238665262175948
"DIP2A_DIP2C",0.105366216353476,-0.211820954442386,0.627816930183394,0.0526752820668027,0.480842037822438,0.0137849056870726
"DLG1_DLG4",0.182586386465085,-0.207805882843198,0.228962246346728,0.118337247307828,0.117159044183267,0.0427328948611602
"DLG2_DLG3",0.707414804458416,0.316932912147485,0.0436630539512006,0.0489622654028564,0.0120963108128095,0.0120974018319923
"DMRTA1_DMRTA2",-0.00518713003643529,0.412096146524322,0.987801769954873,0.0478897715757268,0.982025151417125,0.011692385750214
"DNAH11_DNAH17",0.176874321273031,0.0687056409038767,0.313864880336359,0.534759143392369,0.183546713646993,0.390018583929604
"DNAJA1_DNAJA4",-0.570214276788678,-0.264894692464661,0.00213702224133075,0.0176286120771337,0.000161373142630133,0.00311851178557482
"DNAJC15_DNAJC19",-0.438556218196588,0.0920816412637108,0.0398735682915576,0.379033079864622,0.010493044287252,0.231077184654309
"DOCK3_DOCK4",0.659215414621701,0.0551384583928916,0.0436630539512006,0.788389752195444,0.0121286260975557,0.674280709114524
"DOK1_DOK3",0.896059412793971,-0.312531583867909,0.0106613067157774,0.0440818616553234,0.00173012433545511,0.0103759937522033
"DOPEY1_DOPEY2",0.28256208277282,0.16988535281695,0.266641481403998,0.273855872618088,0.14618502269956,0.144535043881769
"DST_MACF1",0.719452647120536,-0.236155631266548,0.000652245377385314,0.140140579609755,2.28858027152742e-05,0.0547146784548865
"DUSP15_DUSP22",-0.147346924107652,0.185877911589823,0.497422698106568,0.279768045975182,0.352863066790962,0.14999724250593
"DUSP16_DUSP8",0.341714755192886,0.136198098421867,0.346628139645931,0.513646452954357,0.212841840133466,0.361955541409356
"DVL1_DVL3",-0.319959297211739,-0.373763280532877,0.264727819106884,0.00678821236597873,0.144361807787818,0.000776424841729545
"DYNLL1_DYNLL2",0.107486958882744,-0.10581474258243,0.712335163651303,0.459387035509513,0.586322656631116,0.310959352983779
"DYRK2_DYRK3",-0.540993734875321,-0.356251443821132,0.0428443185877457,0.00513867889848595,0.0117132859296907,0.000494432506101926
"E2F7_E2F8",0.340261671236941,-0.198119767175391,0.0812770971081732,0.0909375472343774,0.0274488441988129,0.0305784150057117
