,HAP1.T12,HAP1.T18
LRP1_LRP1B,0.01314218400818154,-0.0852541159885464
LRRC1_SCRIB,0.7465079097065962,0.6370969454112466
LSM14A_LSM14B,-0.9364049257064773,-1.1176150769411684
LYPLA1_LYPLA2,0.7870430994796048,0.6651895522888995
LYSMD3_LYSMD4,0.20060592195153806,0.07368351804630484
MAB21L1_MAB21L2,0.04790360535156365,-0.00020825265233698193
MACROD1_MACROD2,-0.574618979317992,-0.730703025684674
MAGT1_TUSC3,-0.3494035003924889,-1.1751505738905046
MAN1A1_MAN1C1,0.13099328935558974,0.1570238064832448
MAN2A1_MAN2A2,-0.3764658845407727,0.6124566016092982
MAP2K1_MAP2K2,-0.9590844440153251,-1.087705985887115
MAP2K3_MAP2K6,-0.22231574615721555,-0.22006084443540097
MAP3K2_MAP3K3,-0.6931536071214867,-0.11684400731667291
MAPKBP1_WDR62,-0.939077848819294,0.33679681595687977
MARCH2_MARCH3,1.3925956756591455,0.7992450270188648
MAT1A_MAT2A,-0.0653088441708492,0.34530158468781574
MBD2_MBD3,-0.6880664331120534,0.1097003786145282
MBNL1_MBNL2,0.37356678124075665,0.49272129995036396
MBNL1_MBNL3,0.430457035238622,0.5997011288014468
MBNL2_MBNL3,-0.11273596994764216,0.06905864039211893
MCTP1_MCTP2,-0.12525558402852147,-0.7717476677098226
MECOM_PRDM16,-0.6141958185490514,-0.8135729007350004
MED13_MED13L,-1.0926279642111671,-1.9872959818126779
MEIS1_MEIS2,-1.1014229202157224,-0.9053877247801001
MET_MST1R,0.386124283703673,0.44629003700962927
METRN_METRNL,0.8791304927202915,0.902619146734297
MGRN1_RNF157,2.4998781504362366,2.6607766532872708
MICALL1_MICALL2,1.4912528852730313,1.5519567219939883
MIER1_MIER3,-0.38777594194551174,-0.6648557902971125
MKNK1_MKNK2,-0.7311251080007186,-1.2044528732653406
KMT2A_KMT2B,-1.3079873090369016,-1.0909941656923008
MLLT1_MLLT3,2.201416607853406,2.0425282242590064
MLLT10_MLLT6,0.9435027914467381,0.9584178518768155
MLXIP_MLXIPL,-0.31024140197779215,0.5596199974161643
MME_MMEL1,1.920515072940163,2.1940354325790192
MOB1A_MOB1B,-1.700305230277206,-1.9654714992371607
MPRIP_TRIOBP,-0.40331625753359207,-0.9055704763015469
MSI1_MSI2,-0.14090026227740945,-0.4608764168951722
MSX1_MSX2,-1.6100559882116854,-1.4489742795977967
MTMR3_MTMR4,0.3143540003699232,-0.1365222160639278
MTMR10_MTMR12,1.0511561893669454,0.8842670376546837
MTSS1_MTSS1L,0.21235502810765794,1.3834839859578951
