,A549,HT29,OVCAR8
KATNA1_KATNAL1,-0.411356026935891,0.3547076027263717,-0.6225187048054204
KBTBD6_KBTBD7,0.6398823603584558,0.714905288398907,1.201983562052276
KCTD17_KCTD2,1.4784543787881994,0.5603363995321773,0.9363464745379705
KCTD2_KCTD5,0.8507466676988751,0.17996895848343467,0.15422716377641948
KDELR1_KDELR2,-5.359993995230043,-3.2366059728717325,-3.9772513216219667
KDM5A_KDM5B,0.5599716961985868,1.081099441692928,1.6507178708322114
KIF3A_KIF3B,-0.5641967930776977,0.25135015063063826,1.4155547213837558
KLC1_KLC4,-1.158802714026379,-1.5715552190352018,-0.778373481678475
KLHL17_KLHL20,-0.49072880246102785,0.30213181569697045,-0.22094887285844972
KYAT1_KYAT3,-1.3360553792279553,-0.2305366835181311,-0.6552104513988687
L3MBTL2_MBTD1,-0.16947973459144441,0.4026797349319449,0.17343615870138665
LATS1_LATS2,1.546045055323858,1.6241882940204933,1.6565301758778033
LIN7B_LIN7C,0.1698968935698383,-0.7443067300356847,-0.44576274137482963
LMAN2_LMAN2L,0.5427775921095498,0.483369455091953,-0.3055972630128858
LMBR1_LMBR1L,0.8257903334262992,0.5424897517809067,0.4934461321728877
LMNB1_LMNB2,0.8754725006241135,0.8212350993024001,-0.028215873963399418
LPIN1_LPIN2,-0.07790060787033491,-0.33722032440458527,0.666938685603046
LRBA_NBEA,0.1818765923947299,-0.37262819352078386,0.26806908784841765
LSM14A_LSM14B,0.632199893300092,0.3201672221083544,0.38414625063398977
MAFG_MAFK,-1.468661666080803,-1.726073051287379,-2.6030528949415364
MAP2K1_MAP2K2,1.0742447666147563,0.8223508753388574,-1.8544272431897448
MAP3K10_MAP3K11,-0.32949521065884235,0.43777462702552566,0.2601448357377343
MAP3K10_MAP3K9,-0.7717573600877762,-0.14585761959494936,-0.38758800212565153
MAP3K2_MAP3K3,0.5192796229582584,0.17097347149097625,0.5702254907126526
MAPK11_MAPK12,-0.05082798152378195,0.4775663601112743,1.2060117207700287
MAPK1_MAPK3,-3.747778036883223,-5.950255151193294,-5.222703164800606
MAPK8IP3_SPAG9,-0.9934087052181744,-0.35434934276004576,0.19344100550206267
MAPKAPK2_MAPKAPK3,-0.25710483146918856,-0.3289184049852332,0.8906897585138025
MARK3_MARK4,-0.6344317180049485,-0.9614032210711505,-0.30367229042603117
MBD2_MBD3,0.020668947888324782,-0.21527491047418168,0.28057165788995125
ME2_ME3,0.6235216132504717,0.5954581040120731,1.04380486828358
MED13_MED13L,-0.6239809163971497,-0.9496692151905831,0.03241997012902533
MEF2A_MEF2D,-0.07547584886656097,1.5592185704652133,1.0046798724014123
METTL2A_METTL2B,1.0327345261057632,-0.5533970177727746,0.41219381807460603
MEX3B_MEX3C,0.24304894417049921,0.0619292995180188,-0.5221974408083873
MEX3B_MEX3D,-0.16411055669387642,-0.4117839406902872,-0.10169613470572438
MFAP3_MFAP3L,0.16846802678641296,0.18225732987724866,0.22794952550697703
MFSD14A_MFSD14B,1.4045471973999595,0.7455150543396739,1.1430094391856964
MKNK1_MKNK2,1.4247102504847584,-0.9530495507146644,-0.33891543153503295
MOAP1_PNMA1,-1.3242606293775725,-0.40037320227051154,-0.729598719274337
MOB1B_MOB3A,-0.18157449674370918,0.3122358679545997,0.04291496822388596
MPP2_MPP6,0.7809769634851708,0.5117684998108936,1.2415594082755088
MPST_TST,0.0133073501153324,-0.12936088459343592,0.19385259165004573
MRFAP1_MRFAP1L1,0.7999180055128644,0.3274631091613966,0.6394092051913001
MTHFD2_MTHFD2L,0.8593804280542591,0.2759739788119058,0.28024750605964205
MTMR3_MTMR4,-1.761249131448858,-1.791053405582201,-2.809833407721606
MYL12A_MYL12B,-1.6451569948071776,-0.5808719455232966,-0.03419515729080635
MYL6_MYL6B,-0.8526000937400687,-0.29603807271236543,0.5012688369025079
MZT2A_MZT2B,-0.18092608985760514,0.230909678625846,0.8910069327700864
NACC1_NACC2,0.32771295929985583,0.5273583869310029,0.39652472705778996
NAP1L1_NAP1L4,-1.2549755052490126,0.56492244582529,-2.4548959812578546
NDFIP1_NDFIP2,-0.16761808253313995,-0.4806091624293801,-1.0104745151510817
NFIA_NFIC,0.26789498104521936,-0.2437158740760965,0.6831533720378867
NIPSNAP1_NIPSNAP2,1.6109455788412659,0.5196758922803686,0.8754835491529954
NKIRAS1_NKIRAS2,0.7740878709859362,0.8955714971211578,-0.02676583933467639
NLN_THOP1,0.15205557709468726,0.5712290573495309,0.31809110179023387
NME1_NME2,-0.30193452728671927,0.5497691867496179,-0.03278092829955655
NOTCH1_NOTCH2,1.637525842737676,0.9458660392429695,0.671741174527998
NR1D1_NR1D2,0.2007444129516259,0.1584250423507217,-0.3303189269178053
NR2C1_NR2C2,0.1025998539716865,-0.9491032785202199,-1.0472552453583046
NT5DC2_NT5DC3,0.29188556367741025,0.5069262727863617,-0.24947382402242527
NUCB1_NUCB2,0.7131860014327234,0.7682120190416153,0.13833226499634774
NUMB_NUMBL,-0.09188947864760667,-0.5534900698256815,0.34407573497292293
OAZ1_OAZ2,1.17058358303886,0.03121708871756896,-0.7994882756737902
ORMDL1_ORMDL3,-0.46177344316909,-0.06162745874164862,0.8544983314783446
