,A375_D14,RPE_D14,MEWO_D14,A375_D28,RPE_D28,MEWO_D28
PLEKHG5_PLEKHG6,0.8534847566806566,1.146290371513494,0.8247996427616581,0.7032263355393661,1.1981102282701628,0.7829186950742881
CCNB1_PLEKHO1,-2.949206294397976,-1.3968216142332386,-1.5646911892222697,-2.7086518722344244,-2.467961230077935,-1.9433417485646332
CDC25C_PLEKHO1,-0.3186434392472048,-0.5793615548538286,-0.10854354245100122,-0.25345613195630196,-0.9159045589758854,-0.46442698276705224
PLK1_TP53,4.227543847143733,5.978123235768591,4.611424721938751,2.7896175210803413,4.366149744747245,2.9165132259311792
PLPP6_PLPP7,0.8817251377564117,1.3442023245754602,-0.10587209173778415,0.636146362077974,0.7946508572976967,0.6200984068271649
PLXDC1_PLXDC2,-0.15766495263310715,0.3237506288929453,1.1391370721699816,0.0029213876821533253,0.9515767305758438,0.7790400503960587
PMM1_PMM2,0.009343089435394804,0.693042473545397,0.6640998723367073,1.2025956914785287,0.7851793502023223,0.09773206088447893
PMPCA_UQCRC2,-0.037134379752832805,0.10884715819686747,2.0790754807340157,2.3970186149689092,0.23164402086802063,-0.05743673782673781
MFSD10_PNO1,0.5456246517175137,0.6780156080421132,0.5022361997444755,1.168153482189751,-0.5147996714252813,1.5849960185500893
OGFR_PNO1,-0.1947372657350044,-0.029012201435529076,0.5501178653409867,-0.36476960875295783,-0.018943365395068208,0.9920138131872434
POGZ_ZNF280D,-0.06493930038020185,0.03166189890372285,0.7461530309816001,0.26833173937223964,0.2054340159761047,1.2187702306283403
CSRP1_POLE2,-0.5820148317621133,0.2818310390892462,-0.8966833006443147,-0.844088448515685,0.17272299366031293,-0.8659396985118193
DBNDD2_POLE2,-0.45235487452343803,0.16671266757040706,0.3306224128749903,-1.0063212350569886,-0.35757845392065246,-0.47793383702485454
PCNXL2_POLE2,0.579343734896315,0.6969232579073774,-0.9084724176259117,-0.5071523914361747,0.2726946061744831,-1.9658390577259701
NFYC_POLE4,2.41225630314871,1.8994860689236965,1.390356295320761,2.9123538378986753,0.9782421331021537,1.6523343704893771
ASPM_POLL,-0.2891469479438364,0.08032127295055108,-1.5105963395035127,-0.31245673975445754,-0.7498411997539747,-0.5152282473948647
DSN1_POLL,0.23665769619976065,-0.055076219944417984,-0.4098964093966637,0.9202622204349156,0.6454606216041655,-0.038301755568353954
NCAPH_POLL,-1.1185314762255771,-0.6846803435379883,-1.380360076291118,-1.6969079163767011,-1.6234514734048406,-0.37860806378363815
POLR2B_POLR3B,-2.2407362812151304,-1.8707838035129052,-2.0010071160563734,-0.028931161209064495,-0.4378648494908341,-1.689118598246289
